measurement,same_genre,different_genres
similarity,0.02,0.02
similarity,0.02,0.03
similarity,0.08,-0.02
similarity,0.12,-0.01
similarity,0.01,0.05
similarity,0.1,0.03
similarity,0.01,0.07
similarity,-0.05,0
similarity,0.07,-0.02
similarity,0.06,0.05
similarity,0.1,0.15
similarity,0.08,0.27
similarity,-0.02,0.11
similarity,0.01,-0.02
similarity,0.07,-0.02
similarity,0.02,0.03
similarity,0.07,0.02
similarity,0.05,0.09
similarity,0.04,0.1
similarity,-0.07,0
similarity,0.07,0.03
similarity,0.05,0.04
similarity,0.06,0.14
similarity,0.01,0.02
similarity,0,0.01
similarity,0.12,-0.01
similarity,0.1,0.03
similarity,0.08,0.03
similarity,-0.03,0.02
similarity,0.03,-0.02
similarity,0,-0.01
similarity,0.07,-0.02
similarity,0.06,-0.01
similarity,0.01,0.01
similarity,0.09,-0.04
similarity,0.06,-0.01
similarity,-0.05,0.02
similarity,0.07,0.05
similarity,0.12,0.02
similarity,0.06,0.03
similarity,0.15,-0.02
similarity,-0.04,-0.02
similarity,0.12,0.03
similarity,0.03,0.15
similarity,0.02,0.15
similarity,-0.1,0.01
similarity,0.05,0.01
similarity,0,-0.01
similarity,0.04,0
similarity,0.06,0.02
similarity,0.29,0.02
similarity,-0.01,0.27
similarity,0.3,0.11
similarity,-0.01,0.24
similarity,0.08,0.01
similarity,0.05,0.18
similarity,0.06,0.03
similarity,0.04,-0.01
similarity,0.05,-0.01
similarity,0.04,0.02
similarity,0.17,0.07
similarity,0.02,0
similarity,-0.02,-0.03
similarity,0.07,-0.05
similarity,0.05,-0.05
similarity,-0.01,0.19
similarity,0.07,-0.01
similarity,0.01,0.06
similarity,0.35,0.02
similarity,0.01,0.07
similarity,0.09,-0.04
similarity,0.1,0.24
similarity,0.01,0.01
similarity,0.17,0.02
similarity,0.03,0.03
similarity,0,0.05
similarity,0.09,0.12
similarity,0.04,0.02
similarity,0.08,0.03
similarity,0.32,-0.02
similarity,0.03,0.08
similarity,0.15,0.4
similarity,0.02,0.16
similarity,0.2,-0.01
similarity,0.05,-0.15
similarity,0.25,0
similarity,0.1,0.05
similarity,0.12,0.08
similarity,0.27,0.13
similarity,0.07,0.06
similarity,0.06,0.04
similarity,0.01,0.05
similarity,0.09,0.03
similarity,0.01,0.03
similarity,0.01,0
similarity,0.17,-0.01
similarity,0.05,0
similarity,0.09,0
similarity,-0.06,0.28
similarity,0,0.03
similarity,0.01,0.06
similarity,-0.03,0.19
similarity,0.19,-0.01
similarity,-0.01,0.21
similarity,-0.04,0.07
similarity,0.03,0.12
similarity,0.12,0.13
similarity,0.01,0.04
similarity,-0.06,0.02
similarity,-0.04,0.03
similarity,-0.03,0.04
similarity,0.23,0.16
similarity,0.03,0.09
similarity,0.13,0
similarity,-0.13,0.02
similarity,0.07,0.06
similarity,0.08,-0.02
similarity,-0.02,0.04
similarity,0.08,0.01
similarity,0.19,0.03
similarity,0.05,0.04
similarity,0.06,0.3
similarity,-0.03,0.02
similarity,-0.01,0.14
similarity,-0.04,0.09
similarity,0.09,0.01
similarity,0.04,0.1
similarity,-0.03,0.03
similarity,0.03,0.05
similarity,-0.02,0.08
similarity,-0.02,0.14
similarity,0.06,0.01
similarity,0.01,0.14
similarity,0,0.02
similarity,0,0.17
similarity,0.05,0.23
similarity,0.04,0.11
similarity,0.02,0.06
similarity,0.03,0.18
similarity,-0.06,0.07
similarity,-0.04,0.07
similarity,0.04,0.09
similarity,-0.01,-0.03
similarity,0.01,0.08
similarity,0.04,0.08
similarity,0.38,0.07
similarity,-0.03,0.01
similarity,-0.01,-0.01
similarity,0.07,0.08
similarity,0.02,-0.03
similarity,0.08,0.03
similarity,-0.01,0
similarity,-0.09,0.04
similarity,0.17,-0.01
similarity,-0.07,0.05
similarity,0.13,0.1
similarity,0.08,0.04
similarity,0.03,0.08
similarity,0,0.08
similarity,0.12,0.05
similarity,-0.08,0.04
similarity,0.21,0.06
similarity,0.08,0.06
similarity,0.15,0.08
similarity,0.05,0.06
similarity,0,0.1
similarity,0.13,0.03
similarity,0.05,0.09
similarity,-0.01,-0.02
similarity,0.13,0.25
similarity,0,0.14
similarity,0.03,0.05
similarity,0.18,0.14
similarity,0.02,0.04
similarity,0.04,-0.01
similarity,0.16,0.05
similarity,0.1,-0.01
similarity,0.13,0.01
similarity,0.34,0.03
similarity,0.05,0.05
similarity,0.07,-0.06
similarity,0.06,0.02
similarity,-0.04,-0.05
similarity,0.05,0.03
similarity,0,0.07
similarity,0.06,0.05
similarity,0.08,0.07
similarity,0.01,0.02
similarity,0.17,0.03
similarity,0.05,0.14
similarity,0.01,0.1
similarity,0.17,0.06
similarity,-0.03,-0.06
similarity,0,0.02
similarity,0.02,-0.04
similarity,0.19,0.06
similarity,0.02,0.05
similarity,0.02,-0.02
similarity,0.02,-0.01
similarity,0.05,0.02
similarity,0.11,0.22
similarity,0.01,0.1
similarity,0.1,0.12
similarity,0.01,0.11
similarity,0.02,0.19
similarity,0.04,0.14
similarity,0.02,0.39
similarity,0.01,0.01
similarity,0.04,0.06
similarity,0.13,0.23
similarity,0,0.32
similarity,0.27,0.23
similarity,0.28,0.24
similarity,-0.02,0.05
similarity,-0.04,0.03
similarity,0.02,0.07
similarity,0.03,0
similarity,0.09,0.33
similarity,0.04,0.12
similarity,-0.04,0.07
similarity,0.07,0.15
similarity,0.03,0.1
similarity,0.03,0.08
similarity,0.05,0.07
similarity,0.03,0.1
similarity,0.03,0.05
similarity,-0.04,0.35
similarity,-0.01,0.23
similarity,0.21,0.14
similarity,0.07,-0.02
similarity,0.06,0.16
similarity,-0.04,0.1
similarity,0.11,0.15
similarity,-0.05,0.03
similarity,0.04,0.03
similarity,0,0.03
similarity,0.02,0.08
similarity,0.03,0.1
similarity,0.05,0.2
similarity,0.02,0.25
similarity,0.01,0.03
similarity,0.05,0.1
similarity,0.42,0.07
similarity,0.07,0.46
similarity,0.03,0.33
similarity,0,0.2
similarity,0.08,-0.02
similarity,0.01,0.14
similarity,0.04,0.09
similarity,0.12,0.16
similarity,0.15,0.11
similarity,0.03,0.19
similarity,0.15,0.05
similarity,0.03,0.08
similarity,0.06,0.09
similarity,0.09,0.18
similarity,0.06,0.27
similarity,0.02,0.03
similarity,0.08,0.05
similarity,0.05,0.19
similarity,0.09,0.19
similarity,0.32,0.15
similarity,0.14,0.24
similarity,0.04,0.1
similarity,0.07,0.16
similarity,0.2,0.04
similarity,0.13,0.05
similarity,0.14,0.19
similarity,0.13,0.08
similarity,0.17,0.06
similarity,0.12,0.15
similarity,0.14,0.2
similarity,0.02,0.05
similarity,0.02,0.05
similarity,0.07,0.18
similarity,0.11,0.06
similarity,0,0.21
similarity,0.34,0.16
similarity,0.04,0.05
similarity,0.03,0.04
similarity,0.01,0.09
similarity,0.06,0.09
similarity,0.24,0.22
similarity,0.27,0.04
similarity,0.16,0.19
similarity,0.01,0.13
similarity,0.1,0.15
similarity,0.04,0.08
similarity,0.01,0.19
similarity,0.13,0.2
similarity,0.13,0.06
similarity,0.04,0.05
similarity,0.08,0.25
similarity,0.04,0.28
similarity,0.08,0.32
similarity,0.05,0.09
similarity,-0.01,0
similarity,0,0.06
similarity,0.29,0.05
similarity,0.12,0.16
similarity,0.06,0.07
similarity,-0.05,0.05
similarity,0.01,0.03
similarity,0,0.07
similarity,0.05,0.01
similarity,0.04,0.04
similarity,-0.01,0.05
similarity,0.06,0.09
similarity,0.02,0.04
similarity,0.05,0.04
similarity,0.08,0.05
similarity,0.06,0.1
similarity,0.04,0.09
similarity,0,-0.02
similarity,-0.01,0.01
similarity,0.37,0.05
similarity,0.26,0
similarity,0.09,0.04
similarity,0.02,0.37
similarity,0.06,0.02
similarity,0,0.05
similarity,0.05,0.04
similarity,-0.1,0.07
similarity,0,0.04
similarity,-0.01,0.04
similarity,0.16,0.02
similarity,0,0.1
similarity,0.11,0.04
similarity,0.05,0.03
similarity,0.06,-0.01
similarity,0.01,0.14
similarity,0.04,-0.02
similarity,0.01,0.07
similarity,0.13,-0.03
similarity,0.1,0.02
similarity,0.17,0.47
similarity,0.02,0.02
similarity,0.12,0.06
similarity,0.04,0.04
similarity,0.03,0.09
similarity,-0.02,-0.01
similarity,-0.06,0.06
similarity,0,-0.04
similarity,0.07,0.08
similarity,0.04,0.06
similarity,0.06,0
similarity,0.15,0.01
similarity,0.14,-0.02
similarity,0.05,0.01
similarity,0.06,0.06
similarity,0.1,0.02
similarity,0,0.34
similarity,0.09,0.08
similarity,-0.01,0.23
similarity,0.02,-0.03
similarity,-0.03,0.27
similarity,-0.02,-0.02
similarity,0.02,0.11
similarity,-0.01,-0.02
similarity,-0.06,0.01
similarity,0.12,0.01
similarity,0.06,0.07
similarity,0.09,0.07
similarity,-0.01,0.12
similarity,0.02,-0.11
similarity,-0.01,0.02
similarity,-0.03,0.05
similarity,-0.01,0.04
similarity,0.01,0.01
similarity,0.08,0.05
similarity,-0.01,0.04
similarity,0,0.23
similarity,0.19,0.02
similarity,0,0.02
similarity,0.27,0.02
similarity,0.02,0
similarity,0.18,0.02
similarity,-0.01,-0.03
similarity,-0.01,0.01
similarity,-0.03,0.13
similarity,0.01,0
similarity,0,0.08
similarity,0.14,0.14
similarity,0,-0.02
similarity,0.12,0.14
similarity,0.01,0.14
similarity,-0.03,0.27
similarity,-0.01,0.16
similarity,-0.02,0.18
similarity,0,0.05
similarity,-0.01,0.07
similarity,0.03,-0.02
similarity,0,0.22
similarity,0.05,0.03
similarity,0.02,0
similarity,0.07,-0.03
similarity,0.09,0
similarity,-0.05,0.02
similarity,0.03,0.05
similarity,0,0.03
similarity,0.01,0.04
similarity,0.09,0.15
similarity,0,0.1
similarity,0.02,0.29
similarity,-0.03,0
similarity,0.02,0.03
similarity,0.05,0.04
similarity,0.17,0.08
similarity,0.07,0.09
similarity,0.03,-0.01
similarity,-0.01,0.02
similarity,0,0.05
similarity,0.04,-0.03
similarity,0.1,0.04
similarity,-0.01,-0.03
similarity,0.16,0.01
similarity,0.04,0.09
similarity,-0.02,0.03
similarity,0.11,-0.01
similarity,0.02,0.3
similarity,0.01,0
similarity,0.11,0.1
similarity,0.04,0.08
similarity,0,-0.06
similarity,0.06,0.12
similarity,-0.01,0.01
similarity,0.01,0.06
similarity,0.05,0.01
similarity,-0.02,0.03
similarity,0.04,-0.03
similarity,0.03,0.01
similarity,0.01,0.14
similarity,-0.03,0.13
similarity,0.1,0.09
similarity,0.45,0.02
similarity,-0.01,-0.01
similarity,0.05,0.05
similarity,0.02,0.04
similarity,0.12,0.03
similarity,0.08,0
similarity,0.07,0.01
similarity,0.01,-0.01
similarity,-0.01,-0.04
similarity,0,0
similarity,0.04,-0.05
similarity,0.08,0.06
similarity,0,-0.02
similarity,-0.02,0.01
similarity,0.01,-0.01
similarity,0.04,-0.01
similarity,0.01,0.19
similarity,0.23,0.11
similarity,0.05,0.1
similarity,-0.01,0.09
similarity,0.03,0.1
similarity,0.04,0.15
similarity,0.03,0.25
similarity,0.03,0
similarity,0.08,0.07
similarity,-0.01,0.25
similarity,0.2,0.12
similarity,0.12,0.19
similarity,0.02,0.31
similarity,-0.03,0.01
similarity,0.01,0.05
similarity,0.02,0.05
similarity,0.08,-0.02
similarity,-0.01,0.21
similarity,0.02,0.03
similarity,0.03,0.02
similarity,0.03,0.19
similarity,0.03,0.01
similarity,0.07,0.12
similarity,0.01,0.05
similarity,-0.02,0.02
similarity,-0.01,0.04
similarity,-0.03,0.17
similarity,0.25,0.14
similarity,0.15,0.02
similarity,0.02,0.07
similarity,-0.02,0.06
similarity,0.07,0.07
similarity,0.01,0.05
similarity,0.09,-0.02
similarity,0.21,0.08
similarity,0.02,-0.05
similarity,0.05,0
similarity,0,0.02
similarity,0.02,0.1
similarity,0.16,0.21
similarity,0.09,0.02
similarity,0.03,0.08
similarity,0.03,0.08
similarity,0.1,0.32
similarity,0.13,0.19
similarity,0.04,0.19
similarity,0.02,-0.02
similarity,0.01,0.08
similarity,0.05,0.07
similarity,0.05,0.04
similarity,0.03,0.02
similarity,0.03,0.11
similarity,0.06,0.21
similarity,-0.04,0.12
similarity,0.03,0.06
similarity,0.11,0.13
similarity,0,0.05
similarity,-0.02,-0.03
similarity,-0.01,0.24
similarity,0.11,0.01
similarity,0.15,0.07
similarity,0.06,0.02
similarity,-0.02,-0.02
similarity,0.01,0.04
similarity,-0.11,-0.07
similarity,0.33,0.1
similarity,0.17,-0.02
similarity,0.03,0.11
similarity,0.01,0.02
similarity,0.11,0.05
similarity,0,0
similarity,0.11,0.2
similarity,0.07,0
similarity,0.1,0.11
similarity,-0.01,0.21
similarity,0,0.49
similarity,0.14,0.09
similarity,0.03,0.11
similarity,0.01,-0.01
similarity,0.23,0.03
similarity,0.03,0.04
similarity,0.06,-0.01
similarity,0.05,0.14
similarity,0.01,0.02
similarity,0,0.06
similarity,0.21,0.06
similarity,0.09,0.04
similarity,0.03,0.12
similarity,-0.01,0.1
similarity,0.03,0
similarity,0.07,0.08
similarity,0.03,0.04
similarity,0.02,0.02
similarity,-0.02,0.04
similarity,-0.05,0
similarity,0.09,0.05
similarity,-0.01,0.02
similarity,0.08,0.06
similarity,0.16,0.08
similarity,-0.03,0.03
similarity,0.05,0.05
similarity,0.08,0.2
similarity,0.33,0.02
similarity,0.34,0.06
similarity,0.19,0.05
similarity,0.06,0.11
similarity,-0.05,0.21
similarity,0.04,-0.03
similarity,0.12,-0.04
similarity,0.22,0.03
similarity,0.04,0.15
similarity,-0.05,-0.01
similarity,0.03,0.18
similarity,0.03,0.05
similarity,0.05,0.02
similarity,0.18,0
similarity,0.2,0.05
similarity,0.01,0.01
similarity,0.13,0.1
similarity,0.01,-0.03
similarity,0.03,-0.01
similarity,0.03,0.1
similarity,-0.01,-0.02
similarity,0.04,0
similarity,0.06,0.09
similarity,-0.01,-0.01
similarity,0.02,0.26
similarity,0.23,0.1
similarity,0.24,0.06
similarity,0.17,-0.1
similarity,0.06,0.1
similarity,0.29,0.05
similarity,0,0.1
similarity,0.08,0.01
similarity,0.05,-0.01
similarity,0.19,0.08
similarity,0.02,0.07
similarity,0.22,0
similarity,0.05,0.14
similarity,0.04,0.15
similarity,0.02,0.01
similarity,0.15,0.14
similarity,0.02,0.08
similarity,0.06,0.22
similarity,0,0.14
similarity,0.02,0.19
similarity,0.2,0.02
similarity,0.16,0.21
similarity,-0.04,0.08
similarity,0.01,0.05
similarity,0.19,0.06
similarity,0.06,0.12
similarity,-0.01,0
similarity,0.17,0.04
similarity,-0.05,0.04
similarity,-0.03,0.11
similarity,0.01,0.25
similarity,-0.08,0.02
similarity,0.01,0.05
similarity,-0.07,0.11
similarity,-0.01,0.01
similarity,-0.02,0.13
similarity,0.09,0.19
similarity,0.03,0.07
similarity,-0.03,0.11
similarity,0.01,0.02
similarity,0,0.01
similarity,-0.14,0.1
similarity,-0.01,0.07
similarity,0.05,0.02
similarity,0.2,0.12
similarity,0.06,0.09
similarity,0.06,0.09
similarity,0.01,0.16
similarity,0.02,0.04
similarity,0.06,-0.01
similarity,0.02,0.1
similarity,-0.05,0.04
similarity,0.13,-0.03
similarity,0.08,0.04
similarity,-0.01,0.18
similarity,0.12,-0.02
similarity,0,0.06
similarity,0.12,0.03
similarity,0.05,0.03
similarity,0.18,0.02
similarity,0.03,0.11
similarity,0.12,0.05
similarity,0.14,0.18
similarity,0.06,0.24
similarity,0.03,-0.02
similarity,0.16,0.08
similarity,0.01,0.01
similarity,0.01,0.27
similarity,0.01,0.32
similarity,0.06,0.07
similarity,0.08,0.03
similarity,0.08,-0.03
similarity,-0.01,0.04
similarity,-0.03,0.21
similarity,-0.03,0.12
similarity,0.03,0.03
similarity,0.04,0.05
similarity,0,0.07
similarity,0.06,0.02
similarity,0.05,0.04
similarity,0,0.04
similarity,0.05,0.03
similarity,0.07,0.05
similarity,0.02,0.03
similarity,-0.06,-0.02
similarity,-0.01,0.04
similarity,0.01,0.04
similarity,-0.03,0.02
similarity,0.03,0.02
similarity,0,0
similarity,0.07,0.09
similarity,0.02,0.05
similarity,0.04,0.01
similarity,0.08,0.07
similarity,0.03,0.04
similarity,0.01,0.03
similarity,-0.01,0.07
similarity,0.04,0
similarity,0.01,0.02
similarity,0.03,0.01
similarity,-0.04,0.07
similarity,0.01,0.1
similarity,0.02,0.8
similarity,-0.02,-0.03
similarity,0,0.04
similarity,-0.01,0.07
similarity,0,0.01
similarity,0.01,0
similarity,-0.03,-0.02
similarity,0.05,-0.03
similarity,0,0.01
similarity,0.03,-0.04
similarity,0.02,0.08
similarity,-0.01,0.03
similarity,-0.02,0.01
similarity,-0.03,0.05
similarity,-0.02,-0.01
similarity,0.04,0.11
similarity,-0.01,0.07
similarity,-0.01,0.05
similarity,0.01,-0.02
similarity,0.02,0.07
similarity,0.1,0.04
similarity,0.1,0.05
similarity,0.11,0.04
similarity,0.18,0.03
similarity,0.08,-0.02
similarity,0.17,0.13
similarity,0.02,0.15
similarity,0.12,0.08
similarity,0.2,0.03
similarity,0.03,0.01
similarity,0.03,-0.04
similarity,0.01,0.12
similarity,0.05,0.03
similarity,0.09,0.07
similarity,0.04,0.1
similarity,0.01,0.02
similarity,0.02,-0.05
similarity,-0.02,-0.06
similarity,0.13,-0.03
similarity,0.19,0.1
similarity,0.07,0.09
similarity,0.05,-0.01
similarity,0.01,-0.05
similarity,0,0.16
similarity,0.18,0.01
similarity,0.1,0.07
similarity,0.12,0.04
similarity,0.05,0.05
similarity,0.07,0.06
similarity,0.01,0
similarity,0.1,0
similarity,0.01,0.01
similarity,0.01,-0.07
similarity,0.03,0.01
similarity,0.07,0.06
similarity,0.02,-0.02
similarity,0,0.09
similarity,0,0.1
similarity,0.03,0.04
similarity,0.04,0.04
similarity,0.04,0.06
similarity,0.01,0.01
similarity,0.09,0.01
similarity,0.03,-0.01
similarity,0,-0.1
similarity,-0.04,0.1
similarity,0,-0.03
similarity,0.12,0.09
similarity,0.02,0.02
similarity,0.01,-0.02
similarity,0.04,0.02
similarity,0.14,0.01
similarity,0,0.05
similarity,-0.07,0.19
similarity,-0.04,0.04
similarity,0.1,0.13
similarity,0.11,0.07
similarity,0.03,0.24
similarity,0.01,0.17
similarity,-0.02,0.11
similarity,0.07,0.02
similarity,0.05,0.04
similarity,0.05,0.07
similarity,0.19,0.11
similarity,0.21,0.06
similarity,0.05,0.19
similarity,0.01,0.14
similarity,0.04,0.03
similarity,0.05,0.06
similarity,-0.01,0.07
similarity,0.03,0.03
similarity,0.07,0.04
similarity,-0.01,0.06
similarity,0.04,0.13
similarity,0.04,0.03
similarity,0.05,0.15
similarity,0.04,0.06
similarity,0.07,0
similarity,0.04,0.1
similarity,0.12,0.11
similarity,0.05,0.07
similarity,0.01,0.05
similarity,0.08,0.06
similarity,0.07,-0.04
similarity,-0.07,0.19
similarity,0.01,0.12
similarity,0.05,0.05
similarity,-0.01,0.14
similarity,0.02,0.09
similarity,0.01,-0.02
similarity,-0.03,0.1
similarity,0.05,0.11
similarity,0.03,0.13
similarity,0.03,0.03
similarity,0.08,0.09
similarity,0.1,0.12
similarity,0.03,0.01
similarity,0.11,-0.01
similarity,0.01,0.06
similarity,0.02,-0.02
similarity,-0.03,0.13
similarity,0.21,0.01
similarity,0,0.09
similarity,0.07,0.16
similarity,0.12,0
similarity,0.04,0.22
similarity,0,0.06
similarity,0.18,0.19
similarity,-0.05,0.12
similarity,0,0.11
similarity,0.11,-0.01
similarity,0.07,0.01
similarity,0.06,0.01
similarity,0.08,0.01
similarity,0.08,0
similarity,0.25,0.26
similarity,0.03,0.02
similarity,0.03,0.16
similarity,-0.05,0.01
similarity,0.08,0.05
similarity,0.1,0.04
similarity,0.01,0
similarity,0.23,-0.03
similarity,0.11,0.27
similarity,0.05,0
similarity,0.14,0.28
similarity,0.07,-0.05
similarity,0.04,0.02
similarity,0.1,0.17
similarity,0.09,0.11
similarity,0.09,-0.01
similarity,0.25,-0.02
